Plate.Number,Envelope,Treatment,Rep,Location,Genotype,Field.location,Source,Extraction.BC,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,ID,ID2
LD_Plate 4,18A1331_2_11,Control,2,NY,OH7B,U,14A1166,8032065254,02192019_LD4_18A1331_2_11_OH7B_38.lcd,0.654,23.146,4.721,NA,50.689,1.089,28.522,55.138,83.66,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_3_1,Dark,2,NY,OH7B,U,14A1166,8032064669,02192019_LD4_18A1331_3_1_OH7B_39.lcd,0.602,NA,3.165,NA,NA,0.6,NA,NA,36.497,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_2,Dark,2,NY,OH7B,U,14A1166,8032064759,02192019_LD4_18A1331_3_2_OH7B_40.lcd,0.972,25.567,4.625,0.084,6.857,0.51,31.164,7.451,38.615,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_3,Dark,2,NY,OH7B,U,14A1166,8032064848,02192019_LD4_18A1331_3_3_OH7B_41.lcd,0.747,22.377,4.277,0.101,8.065,0.637,27.401,8.803,36.205,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_4,Dark,2,NY,OH7B,U,14A1166,8032064850,02192019_LD4_18A1331_3_4_OH7B_42.lcd,0.895,NA,7.324,0.152,9.617,0.816,39.705,10.585,NA,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_5,Dark,2,NY,OH7B,U,14A1166,8032065030,02192019_LD4_18A1331_3_5_OH7B_43.lcd,0.735,23.552,4.558,0.067,7.639,0.615,28.845,8.321,37.166,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_6,Dark,2,NY,OH7B,U,14A1166,8032065325,02192019_LD4_18A1331_3_6_OH7B_44.lcd,0.858,23.397,4.646,NA,9.511,0.598,28.901,10.303,39.203,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_7,Dark,2,NY,OH7B,U,14A1166,8032064526,02192019_LD4_18A1331_3_7_OH7B_45.lcd,0.761,24.714,4.646,0.057,6.966,0.597,30.121,7.621,37.742,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_8,Dark,2,NY,OH7B,U,14A1166,8032064871,02192019_LD4_18A1331_3_8_OH7B_46.lcd,0.623,24.666,6.336,0.059,7.603,0.727,31.624,8.389,40.013,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_9,Dark,2,NY,OH7B,U,14A1166,8032064926,02192019_LD4_18A1331_3_9_OH7B_47.lcd,0.592,26.918,7.428,0.129,9.75,NA,34.938,11.017,45.955,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_10,Dark,2,NY,OH7B,U,14A1166,8032064648,02192019_LD4_18A1331_3_10_OH7B_49.lcd,0.833,26.525,5.674,0.061,6.328,0.523,33.032,6.912,39.944,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_11,Dark,2,NY,OH7B,U,14A1166,8032064490,02192019_LD4_18A1331_3_11_OH7B_50.lcd,0.789,29.888,7.375,0.097,8.573,0.72,38.052,9.389,47.441,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1331_3_12,Dark,2,NY,OH7B,U,14A1166,8032065211,02192019_LD4_18A1331_3_12_OH7B_51.lcd,0.676,27.701,6.534,0.059,7.699,0.725,34.911,8.483,43.394,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1332_1_1,Light,2,NY,M37W,U,14A1296,8032065240,02192019_LD4_18A1332_1_1_M37W_52.lcd,0.084,13.241,8.157,1.003,39.35,1.804,21.482,42.158,63.64,M37W_Light_2,M37W_Light
LD_Plate 4,18A1332_1_2,Light,2,NY,M37W,U,14A1296,8032064560,02192019_LD4_18A1332_1_2_M37W_53.lcd,0.088,13.089,7.863,1.03,35.603,NA,21.04,38.216,59.256,M37W_Light_2,M37W_Light
LD_Plate 4,18A1332_1_3,Light,2,NY,M37W,U,14A1296,8032065066,02192019_LD4_18A1332_1_3_M37W_54.lcd,0.074,10.026,8.945,0.886,36.166,1.857,19.045,38.908,57.954,M37W_Light_2,M37W_Light
LD_Plate 4,18A1332_1_4,Light,2,NY,M37W,U,14A1296,8032064911,02192019_LD4_18A1332_1_4_M37W_55.lcd,0.083,11.999,9.232,0.798,31.509,NA,21.314,33.772,55.086,M37W_Light_2,M37W_Light
LD_Plate 4,18A1332_1_5,Light,2,NY,M37W,U,14A1296,8032064589,02192019_LD4_18A1332_1_5_M37W_56.lcd,0.113,16.461,9.972,1.185,42.719,1.879,26.546,45.783,72.329,M37W_Light_2,M37W_Light
LD_Plate 4,18A1332_1_6,Light,2,NY,M37W,U,14A1296,8032064557,02192019_LD4_18A1332_1_6_M37W_57.lcd,0.119,14.796,11.263,1.09,37.835,1.97,26.178,40.895,67.073,M37W_Light_2,M37W_Light
